Table 1
ABS,ORGNAME,POSTAL_ADD1,POSTAL_ADD2,POSTAL_SUBURB,POSTAL_STATE,POSTAL_PCODE,STREET_ADD1,STREET_ADD2,STREET_SUBURB,STREET_STATE,STREET_PCODE,PHONE,FAX,DX,GM_SAL,GM_FIRST,GM_LAST,GM_AWARD,MAYOR_SAL,MAYOR_FIRST,MAYOR_LAST,MAYOR_AWARD,EMAIL,WEB,AREA,POPULATION,ABN,METRO
11350,Byron Shire Council,PO Box 219,,MULLUMBIMBY,NSW,2482,70 Station Street,,Mullumbimby,NSW,2482,02 6626 7000,02 6684 3018,,Mr,Mark,Arnold,,Clr,Sarah,Ndiaye,,council@byron.nsw.gov.au,http://www.byron.nsw.gov.au,566,33987,14 472 131 473,0
11400,Cabonne Council,PO Box 17,,MOLONG,NSW,2866,99 - 101 Bank Street,,Molong,NSW,2866,02 6392 3200,02 6392 3260,,Mr,Bradley,Byrnes,,Clr,Kevin,Beatty,,council@cabonne.nsw.gov.au,http://www.cabonne.nsw.gov.au,6022,13605,41 992 919 200,0
11450,Camden Council,PO Box 183,,CAMDEN,NSW,2570,70 Central Avenue,,Oran Park,NSW,2570,13 22 63,02 4654 7829,25807 Camden,Mr,Andrew,Carfield,,Clr,Therese,Fedeli,,mail@camden.nsw.gov.au,http://www.camden.nsw.gov.au,201,87068,31 117 341 764,1
11500,Campbelltown City Council,PO Box 57,,CAMPBELLTOWN,NSW,2560,Civic Centre,Cnr Queen & Broughton Streets,Campbelltown,NSW,2560,02 4645 4000,02 4645 4111,5114 Campbelltown,Mrs,Lindy,Deitz,,Clr,Darcy,Lound,,council@campbelltown.nsw.gov.au,http://www.campbelltown.nsw.gov.au,312,164508,31 459 914 087,1
11520,City of Canada Bay Council,Locked Bag 1470,,DRUMMOYNE,NSW,1470,1A Marlborough Street,,Drummoyne,NSW,2047,02 9911 6555,02 9911 6550,,Mr,John,Clark,,Clr,Michael,Megna,,council@canadabay.nsw.gov.au,http://www.canadabay.nsw.gov.au,20,94150,79 130 029 350,1
11570,Canterbury-Bankstown Council,PO Box 8,,BANKSTOWN,NSW,1885,Bankstown Civic Tower,66-72 Rickard Road,Bankstown,NSW,2200,9707 9000,9707 9700,,Mr,Matthew,Stewart,,Clr,Bilal,El-Hayek,,council@cbcity.nsw.gov.au,http://www.cbcity.nsw.gov.au,110,368045,45 985 891 846,1
11600,Carrathool Shire Council,PO Box 12,,GOOLGOWI,NSW,2652,9 - 11 Cobram Street,,Goolgowi,NSW,2652,02 6965 1900,02 6965 1379,,Mr,Rick,Warren,,Clr,Darryl,Jardine,,council@carrathool.nsw.gov.au,http://www.carrathool.nsw.gov.au,18933,2796,86 008 844 676,0
11650,Central Coast Council,PO Box 20,,WYONG,NSW,2259,2 Hely Street,,WYONG,NSW,2259,02 4306 7900,0,,Mr,David,Farmer,,Clr,Lawrie,McKinna,,ask@centralcoast.nsw.gov.au,http://www.centralcoast.nsw.gov.au,1681,339196,,0
11700,Central Darling Shire Council,PO Box 165,,WILCANNIA,NSW,2836,21 Reid Street,,Wilcannia,NSW,2836,08 8083 8900,08 8091 5994,,Mr,Robert,Hunt,,,,,,council@centraldarling.nsw.gov.au,http://www.centraldarling.nsw.gov.au,53492,1846,65 061 502 439,0
11720,Cessnock City Council,PO Box 152,,CESSNOCK,NSW,2325,62 - 78 Vincent St,,Cessnock,NSW,2325,02 4993 4100,02 4993 2500,DX 21502 Cessnock,Mr,Peter,Chrystal,,Clr,Daniel,Watton,,council@cessnock.nsw.gov.au,http://www.cessnock.nsw.gov.au,1965,57521,60 919 148 928,0
11730,Clarence Valley Council,Locked Bag 23,,GRAFTON,NSW,2460,2 Prince Street,,Grafton,NSW,2460,02 6643 0200,0,,Ms,Laura,Black,,Clr,Ray,Smith,PSM,council@clarence.nsw.gov.au,http://www.clarence.nsw.gov.au,10429,51570,85 864 095 684,0
11750,Cobar Shire Council,PO Box 223,,COBAR,NSW,2835,36 Linsley Street,,Cobar,NSW,2835,02 6836 5888,02 6836 3964,,Mr,Peter,Vlatko,,Clr,Jarrod,Marsden,,mail@cobar.nsw.gov.au,http://www.cobar.nsw.gov.au,45579,4729,71 579 717 155,0
11800,Coffs Harbour City Council,Locked Bag 155,,COFFS HARBOUR,NSW,2450,Yarrila Place,27 Gordon Street,Coffs Harbour,NSW,2450,02 6648 4000,0,,Mr,Murray,Wood,,Clr,Nikki,Williams,,coffs.council@chcc.nsw.gov.au,http://www.coffsharbour.nsw.gov.au,1174,75503,79 126 214 487,0
12000,Coolamon Shire Council,PO Box 101,,COOLAMON,NSW,2701,55 Cowabbie Street,,Coolamon,NSW,2701,02 6930 1800,02 6927 3168,,Mr,Tony,Donoghue,,Clr,David,McCann,,council@coolamon.nsw.gov.au,http://www.coolamon.nsw.gov.au,2431,4390,32 573 173 265,0
12150,Coonamble Shire Council,PO Box 249,,COONAMBLE,NSW,2829,80 Castlereagh Street,,Coonamble,NSW,2829,02 6827 1900,02 6822 1626,,Mr,Phillip,Perram,,Clr,Danny,Keady,,council@coonambleshire.nsw.gov.au,www.coonambleshire.nsw.gov.au,9916,4031,19 499 848 443,0
12160,Cootamundra-Gundagai Regional Council,PO Box 420,,COOTAMUNDRA,NSW,2590,81 Wallendoon Street,,Cootamundra,NSW,2590,1300 459 689,02 6940 2127,,Mr,Roger,Bailey,,Clr,Abb,McAlister,,mail@cgrc.nsw.gov.au,http://www.cgrc.nsw.gov.au/,3981,11244,46 211 642 339,0
12350,Cowra Shire Council,Private Bag 342,,COWRA,NSW,2794,116 Kendal Street,,Cowra,NSW,2794,02 6340 2000,0,,Mr,Paul,Devery,,Clr,Paul,Smith,,council@cowra.nsw.gov.au,http://www.cowracouncil.com.au,2809,12694,26 739 454 579,0
12380,Cumberland Council,PO Box 42,,MERRYLANDS,NSW,2160,16 Memorial Avenue,,Merrylands,NSW,2160,02 8757 9000,02 9840 9734,,Mr,Peter,Fitzgerald,,Clr,Ola,Hamed,,council@cumberland.nsw.gov.au,http://www.cumberland.nsw.gov.au,72,231443,22 798 563 329,1
12390,Dubbo Regional Council,PO Box 81,,DUBBO,NSW,2830,Cnr Church & Darling Streets,,DUBBO,NSW,2830,02 6801 4000,02 6801 4259,,Mr,Luke,Ryan,,Clr,Josh,Black,,council@dubbo.nsw.gov.au,http://www.dubbo.nsw.gov.au,7535,52090,53 539 070 928,0
12700,Dungog Shire Council,PO Box 95,,DUNGOG,NSW,2420,198 Dowling Street,,Dungog,NSW,2420,02 4995 7777,02 4995 7750,,Mr,Gareth,Curtis,,Clr,Digby,Rayward,,shirecouncil@dungog.nsw.gov.au,http://www.dungog.nsw.gov.au,2250,9188,62 610 350 056,0
12730,Edward River Council,PO Box 270,,DENILIQUIN,NSW,2710,180 Cressy Street,,Deniliquin,NSW,2710,03 5898 3000,03 5898 3029,,Mr,Jack,Bond,,Clr,Ashley,Hall,,council@edwardriver.nsw.gov.au,http://www.edwardriver.nsw.gov.au,8883,8949,90 407 359 958,0
12750,Eurobodalla Shire Council,PO Box 99,,MORUYA,NSW,2537,Vulcan Street,,Moruya,NSW,2537,02 4474 1000,02 4474 1234,4873 Moruya,Mr,Mark,Ferguson,,Clr,Mat,Hatcher,,council@esc.nsw.gov.au,http://www.esc.nsw.gov.au,3428,38083,47 504 455 945,0
12850,Fairfield City Council,PO Box 21,,FAIRFIELD,NSW,1860,86 Avoca Road,,Wakeley,NSW,2176,02 9725 0222,02 9725 4249,,Mr,Bradley,Cutts,,Clr,Frank,Carbone,,mail@fairfieldcity.nsw.gov.au,http://www.fairfieldcity.nsw.gov.au,102,208468,83 140 439 239,1
12870,Federation Council,PO Box 77,,COROWA,NSW,2646,100 Edward Street,,Corowa,NSW,2646,02 6033 8999,02 6033 3317,,Mr,Adrian,Butler,,Clr,Cheryl,Cook,,council@federationcouncil.nsw.gov.au,www.federationcouncil.nsw.gov.au,5685,12444,30 762 048 084,0
12900,Forbes Shire Council,PO Box 333,,FORBES,NSW,2871,2 Court Street,,Forbes,NSW,2871,02 6850 2300,02 6850 2399,,Mr,Richard,Jane,,Clr,Phyllis,Miller,OAM,forbes@forbes.nsw.gov.au,http://www.forbes.nsw.gov.au,4710,9859,86 023 614 567,0
12930,Georges River Council,PO Box 205,,HURSTVILLE BC,NSW,1481,Georges River Civic Centre,Cnr MacMahon and Dora Streets,Hurstville,NSW,1481,02 9330 6400,0,,Mr,David,Tuxford,,Clr,Elise,Borg,,mail@georgesriver.nsw.gov.au,http://www.georgesriver.nsw.gov.au,38,156293,57 789 014 855,1
12950,Gilgandra Shire Council,PO Box 23,,GILGANDRA,NSW,2827,15 Warren Road,,Gilgandra,NSW,2827,02 6817 8800,02 6847 2521,,Mr,David,Neeves,,Clr,Doug,Batten,,council@gilgandra.nsw.gov.au,http://www.gilgandra.nsw.gov.au,4832,4247,47 979 060 715,0
13010,Glen Innes Severn Council,PO Box 61,,GLEN INNES,NSW,2370,265 Grey Street,,Glen Innes,NSW,2370,02 6730 2300,02 6732 3764,,Mr,Bernard,Smith,,Clr,Margot,Davis,,council@gisc.nsw.gov.au,http://www.gisc.nsw.gov.au,5480,8919,81 365 002 718,0
13310,Goulburn Mulwaree Council,Locked Bag 22,,GOULBURN,NSW,2580,Civic Centre,184-194 Bourke Street,GOULBURN,NSW,2580,02 4823 4444,02 4823 4456,,Mr,Scott,Gallacher,,Clr,Nina,Dillon,,council@goulburn.nsw.gov.au,http://www.goulburn.nsw.gov.au,3220,30556,84 049 849 319,0
13340,Greater Hume Shire Council,PO Box 99,,HOLBROOK,NSW,2644,39 Young Street,,Holbrook,NSW,2644,02 6036 0100,02 6036 2683,,Mr,Colin,Kane,,Clr,Lea,Parker,,mail@greaterhume.nsw.gov.au,http://www.greaterhume.nsw.gov.au,5750,10602,44 970 341 154,0
13450,Griffith City Council,PO Box 485,,GRIFFITH,NSW,2680,1 Benerembah Street,,Griffith,NSW,2680,1300176077,0,,Mr,Scott,Grant,,Clr,Doug,Curran,,admin@griffith.nsw.gov.au,www.griffith.nsw.gov.au,1639,26586,81 274 100 792,0
13550,Gunnedah Shire Council,PO Box 63,,GUNNEDAH,NSW,2380,63 Elgin Street,,Gunnedah,NSW,2380,02 6740 2100,02 6740 2119,,Mr,Eric,Groth,,Clr,Colleen,Fuller,,council@gunnedah.nsw.gov.au,https://www.gunnedah.nsw.gov.au,4987,12579,80 183 655 793,0
13660,Gwydir Shire Council,Locked Bag 5,,BINGARA,NSW,2404,33 Maitland Street,,Bingara,NSW,2404,02 6724 2000,02 6724 1771,,Ms,Leeah,Daley,,Clr,Tiffany,Galvin,,mail@gwydir.nsw.gov.au,http://www.gwydirshire.com,9260,5314,11 636 419 850,0
13800,Hawkesbury City Council,PO Box 146,,WINDSOR,NSW,2756,366 George Street,,Windsor,NSW,2756,02 4560 4444,02 4587 7740,8601 Windsor,Ms,Elizabeth,Richardson,,Clr,Les,Sheather,,council@hawkesbury.nsw.gov.au,http://www.hawkesbury.nsw.gov.au,2775,66623,54 659 038 834,1
13850,Hay Shire Council,PO Box 141,,HAY,NSW,2711,134 Lachlan Street,,Hay,NSW,2711,02 6990 1100,02 6993 1288,,Mr,David,Webb,,Clr,Carol,Oataway,,mail@hay.nsw.gov.au,http://www.hay.nsw.gov.au,11326,2979,84 075 604 155,0
13910,Hilltops Council,Locked Bag 5,,YOUNG,NSW,2594,189 Boorowa Street,,Young,NSW,2594,1300 445 586,0,,Mr,Anthony,O'Reilly,,Clr,Brian,Ingram,,mail@hilltops.nsw.gov.au,http://www.hilltops.nsw.gov.au,7141,18753,33 984 256 429,0
14000,The Council of the Shire of Hornsby,PO Box 37,,HORNSBY,NSW,1630,296 Peats Ferry Road,,Hornsby,NSW,2077,02 9847 6666,02 9847 6999,9655 Hornsby,Mr,Glen,Magus,,Clr,Warren,Waddell,,hsc@hornsby.nsw.gov.au,http://www.hornsby.nsw.gov.au,455,149113,20 706 996 972,1
14100,The Council of the Municipality of Hunters Hill,PO Box 21,,HUNTERS HILL,NSW,2110,Town Hall,22 Alexandra Street,Hunters Hill,NSW,2110,02 9879 9400,0,,Mr,Nick,Tobin,,Clr,Zac,Miles,,info@huntershill.nsw.gov.au,http://www.huntershill.nsw.gov.au,6,14747,75 570 316 011,1
14170,Inner West Council,PO Box 14,,PETERSHAM,NSW,2049,260 Liverpool Road,,Ashfield,NSW,2131,02 9392 5000,02 9392 5911,,Mr,Peter,Gainsford,,Clr,Darcy,Byrne,,council@innerwest.nsw.gov.au,http://www.innerwest.nsw.gov.au,35,194564,19 488 017 987,1
14220,Inverell Shire Council,PO Box 138,,INVERELL,NSW,2360,144 Otho Street,,Inverell,NSW,2360,02 6728 8288,02 6728 8277,6159 Inverell,Mr,Brett,McInnes,,Clr,Kate,Dight,,council@inverell.nsw.gov.au,http://www.inverell.nsw.gov.au,8597,16815,72 695 204 530,0
14300,Junee Shire Council,PO Box 93,,JUNEE,NSW,2663,29 Belmore Street,,Junee,NSW,2663,02 6924 8100,02 6924 2497,,Mr,James,Davis,,Clr,Bob,Callow,,customerserviceteam@junee.nsw.gov.au,http://www.junee.nsw.gov.au,2030,6511,62 621 799 578,0
14350,Kempsey Shire Council,PO Box 3078,,WEST KEMPSEY,NSW,2440,22 Tozer Street,,West Kempsey,NSW,2440,02 6566 3200,02 6566 3205,,Mr,Andrew,Meddle,,Clr,Kinne,Ring,,ksc@kempsey.nsw.gov.au,http://www.kempsey.nsw.gov.au,3376,29534,70 705 618 663,0
14400,The Council of the Municipality of Kiama,PO Box 75,,KIAMA,NSW,2533,11 Manning St,,Kiama,NSW,2533,02 4232 0444,02 4232 0555,,Mrs,Jane,Stroud,,Clr,Cameron,McDonald,,council@kiama.nsw.gov.au,http://www.kiama.nsw.gov.au,258,22450,22 379 679 108,0
14500,Ku-ring-gai Council,Locked Bag 1006,,GORDON,NSW,2072,818 Pacific Highway,,Gordon,NSW,2072,02 9424 0000,02 9424 0001,8703 Gordon,Mr,David,Marshall,,Clr,Christine,Kay,,krg@krg.nsw.gov.au,https://www.krg.nsw.gov.au/Home,85,124444,86 408 856 411,1
14550,Kyogle Council,PO Box 11,,KYOGLE,NSW,2474,1 Stratheden Street,,Kyogle,NSW,2474,02 6632 1611,02 6632 2228,,Mr,Marcus,Schintler,,Clr,Danielle,Mulholland,,council@kyogle.nsw.gov.au,http://www.kyogle.nsw.gov.au,3584,8979,15 726 771 237,0
14600,Lachlan Shire Council,PO Box 216,,CONDOBOLIN,NSW,2877,58-64 Molong Street,,Condobolin,NSW,2877,02 6895 1900,02 6895 3478,,Mr,Alan,Stoneham,,Clr,John,Medcalf,OAM,council@lachlan.nsw.gov.au,http://www.lachlan.nsw.gov.au,14964,6225,82 815 250 829,0
14650,Lake Macquarie City Council,Box 1906,,Hunter Region Mail Centre,NSW,2310,126 - 138 Main Road,,Speers Point,NSW,2284,02 4921 0333,02 4958 7257,7869 Newcastle,Mr,Tony,Farrell,,Clr,Adam,Shultz,,council@lakemac.nsw.gov.au,http://www.lakemac.com.au,649,203376,81 065 027 868,0
14700,Lane Cove Municipal Council,PO Box 20,,LANE COVE,NSW,1595,48 Longueville Road,,Lane Cove,NSW,2066,02 9911 3555,02 9911 3600,,Ms,Louise,Kerr,,Clr,Merri,Southwood,,service@lanecove.nsw.gov.au,http://www.lanecove.nsw.gov.au,11,38742,42 062 211 626,1
14750,Leeton Shire Council,23-25 Chelmsford Place,,LEETON,NSW,2705,23-25 Chelmsford Place,,Leeton,NSW,2705,02 6953 0911,02 6953 0977,,Ms,Jacqueline,Kruger,,Clr,George,Weston,,council@leeton.nsw.gov.au,http://www.leeton.nsw.gov.au,1167,11417,59 217 957 665,0
14850,Lismore City Council,PO Box 23A,,LISMORE,NSW,2480,43 Oliver Avenue,,Goonellabah,NSW,2480,02 6625 0500,0,7761 Lismore,Mr,Eber,Butron,,Clr,Steve,Krieg,,council@lismore.nsw.gov.au,http://www.lismore.nsw.gov.au,1288,43905,60 080 932 837,0
14870,City of Lithgow Council,PO Box 19,,LITHGOW,NSW,2790,180 Mort Street,,Lithgow,NSW,2790,02 6354 9999,02 6351 4259,,Mr,Ross,Gurney,,Clr,Cassandra,Coleman,,council@lithgow.nsw.gov.au,http://www.council.lithgow.com,4512,21565,59 986 092 492,0
14900,Liverpool City Council,Locked Bag 7064,,LIVERPOOL BC,NSW,1871,50 Scott Street,,Liverpool,NSW,2170,1300 362 170,02 9821 9333,5030 Liverpool,Mr,Jason,Breton,,Clr,Ned,Mannoun,,lcc@liverpool.nsw.gov.au,http://www.liverpool.nsw.gov.au,306,217586,84 181 182 472,1
14920,Liverpool Plains Shire Council,PO Box 152,,QUIRINDI,NSW,2343,60 Station Street,,Quirindi,NSW,2343,02 6746 1755,02 6746 3255,,Mr,Cian,Middleton,,Clr,Ken,Cudmore,,council@liverpoolplains.nsw.gov.au,http://www.lpsc.nsw.gov.au,5082,7867,97 810 717 370,0
14950,Lockhart Shire Council,PO Box 21,,LOCKHART,NSW,2656,65 Green Street,,Lockhart,NSW,2656,02 6920 5305,02 6920 5247,,Mr,Gavin,Rhodes,,Clr,Peter,Sharp,,mail@lockhart.nsw.gov.au,http://www.lockhart.nsw.gov.au,2896,3237,82 002 584 082,0
15050,Maitland City Council,PO Box 220,,MAITLAND,NSW,2320,263 High Street,,Maitland,NSW,2320,02 4934 9700,02 4933 3209,21613 Maitland,Mr,Jeff,Smith,,Clr,Philip,Penfold,,info@maitland.nsw.gov.au,http://www.maitland.nsw.gov.au,392,80989,11 596 310 805,0
15240,Mid-Coast Council,PO Box 482,,TAREE,NSW,2430,Yalawanyi Ganya 2 Biripi Way,,TAREE,NSW,2430,02 7955 7777,02 6591 7200,,Mr,Adrian,Panuccio,,Clr,Claire,Pontin,,council@midcoast.nsw.gov.au,http://www.midcoast.nsw.gov.au,10053,92462,44 961 208 161,0
15270,Mid-Western Regional Council,PO Box 156,,MUDGEE,NSW,2850,86 Market Street,,Mudgee,NSW,2850,1300 765 002,02 6378 2815,,Mr,Brad,Cam,,Clr,Des,Kennedy,,council@midwestern.nsw.gov.au,http://www.midwestern.nsw.gov.au,8752,24815,96 149 391 332,0
15300,Moree Plains Shire Council,PO Box 420,,MOREE,NSW,2400,Level 2 Max Centre 30 Heber Street,,Moree,NSW,2400,02 6757 3222,02 6752 3934,,Ms,Natalia,Cowley,,Clr,Susannah,Pearse,,council@mpsc.nsw.gov.au,http://www.mpsc.nsw.gov.au,17907,13451,46 566 790 582,0
15350,Mosman Municipal Council,PO Box 211,,SPIT JUNCTION,NSW,2088,573 Military Road,,SPIT JUNCTION,NSW,2088,02 9978 4000,02 9978 4132,9301 Mosman,Mr,Craig,Covich,,Clr,Ann Marie,Kimber,,council@mosman.nsw.gov.au,http://www.mosman.nsw.gov.au,9,30564,94 414 022 939,1
15520,Murray River Council,PO Box 906,,MOAMA,NSW,2731,52 Perricoota Road,,Moama,NSW,2731,1300 087 004,03 5884 3417,,Ms,Stacy,Williams,,Clr,John,Harvie,,admin@murrayriver.nsw.gov.au,http://www.murrayriver.nsw.gov.au,11864,11956,30 308 161 484,0
15560,Murrumbidgee Council,PO Box 5,,DARLINGTON POINT,NSW,2706,35 Jerilderie Street,,Jerilderie,NSW,2716,1300 676 243,03 5886 1701,,Mr,John,Scarce,,Clr,Ruth,McRae,,mail@murrumbidgee.nsw.gov.au,http://www.murrumbidgee.nsw.gov.au,6883,3952,53 573 617 925,0
15650,Muswellbrook Shire Council,PO Box 122,,MUSWELLBROOK,NSW,2333,Campbells Corner 60-82 Bridge Street,,Muswellbrook,NSW,2333,02 6549 3700,02 6549 3701,,Mr,Derek,Finnigan,,Clr,Jeff,Drayton,,council@muswellbrook.nsw.gov.au,http://www.muswellbrook.nsw.gov.au,3405,16431,86 864 180 944,0
15700,Nambucca Valley Council,PO Box 177,,MACKSVILLE,NSW,2447,44 Princess Street,,Macksville,NSW,2447,02 6568 2555,02 6568 2201,,Mr,Bede,Spannagle,,Clr,Gary,Lee,,council@nambucca.nsw.gov.au,http://www.nambucca.nsw.gov.au,1491,19688,71 323 535 981,0
15750,Narrabri Shire Council,PO Box 261,,NARRABRI,NSW,2390,46-48 Maitland Street,,Narrabri,NSW,2390,02 6799 6866,02 6799 6888,,Mrs,Eloise,Chaplain,,Clr,Darrell,Tiemens,,council@narrabri.nsw.gov.au,http://www.narrabri.nsw.gov.au,13015,13278,95 717 801 656,0
15800,Narrandera Shire Council,141 East Street,,NARRANDERA,NSW,2700,141 East Street,,Narrandera,NSW,2700,02 6959 5510,02 6959 1884,,Mr,Timothy,Coote,,Clr,Neville,Kschenka,,council@narrandera.nsw.gov.au,http://www.narrandera.nsw.gov.au,4116,5931,96 547 765 569,0
15850,Narromine Shire Council,PO Box 115,,NARROMINE,NSW,2821,118 Dandaloo Street,,Narromine,NSW,2821,02 6889 9999,02 6889 9998,,Mrs,Jane,Redden,,Clr,Ewen,Jones,,mail@narromine.nsw.gov.au,http://www.narromine.nsw.gov.au,5262,6578,99 352 328 405,0
15900,Newcastle City Council,PO Box 489,,NEWCASTLE,NSW,2300,12 Stewart Avenue,,Newcastle West,NSW,2302,02 4974 2000,02 4974 2001,,Mr,Jeremy,Bath,,,,,,council@ncc.nsw.gov.au,http://www.newcastle.nsw.gov.au,187,162358,25 242 068 129,0
15950,North Sydney Council,PO Box 12,,NORTH SYDNEY,NSW,2059,200 Miller Street,,North Sydney,NSW,2060,02 9936 8100,02 9936 8177,10587 North Sydney,Ms,Therese,Cole,,Clr,Zoe,Baker,,council@northsydney.nsw.gov.au,http://www.northsydney.nsw.gov.au,11,73032,32 353 260 317,1
